mode,description,rho,seed,best_weight,fe_best,reinits,time_s
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.1,101,44417,16929,6,1416.91
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.1,404,44409,3395,8,1472.7
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.1,202,44457,16794,6,1497.88
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.1,202,44473,4773,7,1513.11
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.1,42,44447,4049,8,1525.81
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.1,404,44409,3395,8,1574.3
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.1,101,44451,4830,7,1607.32
always,Solo Global-Best (Intensificazione pura),0.1,42,44492,17164,5,1619.55
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.1,303,44473,3633,8,1630.09
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.1,42,44447,4049,8,1659.37
never,Solo Iteration-Best (Esplorazione pura),0.1,404,44409,3395,8,1677.42
never,Solo Iteration-Best (Esplorazione pura),0.1,42,44447,4049,8,1685.76
always,Solo Global-Best (Intensificazione pura),0.1,202,44472,12529,5,1701.45
always,Solo Global-Best (Intensificazione pura),0.1,303,44537,3736,8,1718.1
never,Solo Iteration-Best (Esplorazione pura),0.1,303,44473,3633,8,1775.78
always,Solo Global-Best (Intensificazione pura),0.1,404,44714,10738,6,1801.14
always,Solo Global-Best (Intensificazione pura),0.1,101,44749,16696,6,1825.84
never,Solo Iteration-Best (Esplorazione pura),0.1,101,44451,4830,7,1836.52
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.1,303,44447,17071,7,1923.79
never,Solo Iteration-Best (Esplorazione pura),0.1,202,44473,4773,7,1933.19
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.15,101,44457,19280,7,1879.16
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.15,202,44464,8736,7,2011.27
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.15,42,44436,17789,6,1975.55
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.15,303,44461,7448,7,2081.8
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.15,42,44396,14364,5,2193.88
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.15,101,44516,14944,7,2004.51
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.15,303,44396,13122,7,1985.19
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.15,202,44396,13096,6,2098.83
fixed_budget,Switch Fisso (75% FE_max - Tradizionale),0.15,404,44474,16210,7,2060.68
never,Solo Iteration-Best (Esplorazione pura),0.15,303,44396,13122,7,2031.62
never,Solo Iteration-Best (Esplorazione pura),0.15,101,44516,14944,7,2076.58
never,Solo Iteration-Best (Esplorazione pura),0.15,202,44396,13096,6,2066.96
never,Solo Iteration-Best (Esplorazione pura),0.15,42,44440,14155,6,2145.54
cycle,Ciclo-Dinamica (Sincronizzata col Reset - Proposta),0.15,404,44493,18532,7,2314.56
always,Solo Global-Best (Intensificazione pura),0.15,101,44634,17810,7,2070.88
always,Solo Global-Best (Intensificazione pura),0.15,42,44498,14100,7,2101.0
always,Solo Global-Best (Intensificazione pura),0.15,202,44493,9461,7,2070.65
always,Solo Global-Best (Intensificazione pura),0.15,404,44891,13567,7,1985.25
never,Solo Iteration-Best (Esplorazione pura),0.15,404,44458,16487,7,2187.53
always,Solo Global-Best (Intensificazione pura),0.15,303,44566,14779,6,2068.32
