n_ants,rho,seed,best_weight,fe_best,reinits,time_s
40,0.1,42,44453,14749,6,3046.63
40,0.1,101,44477,3911,8,3113.78
40,0.1,202,44396,6695,7,3059.68
40,0.1,303,44462,8035,7,2797.43
40,0.1,404,44471,15796,7,2790.16
60,0.1,42,44504,15336,7,2902.08
60,0.1,101,44409,11269,5,2626.76
60,0.1,202,44447,2852,8,2879.63
60,0.1,303,44437,6366,6,2648.22
60,0.1,404,44447,3151,8,3082.78
80,0.1,42,44447,4049,8,2800.08
80,0.1,101,44451,4830,7,2958.6
80,0.1,202,44473,4773,7,2696.15
80,0.1,303,44473,3633,8,2917.96
80,0.1,404,44409,3395,8,2977.79
120,0.1,42,44472,6082,5,3021.12
120,0.1,101,44442,6973,5,2840.14
120,0.1,202,44520,6397,5,2943.34
120,0.1,303,44482,5476,6,2900.87
120,0.1,404,44538,5354,6,3024.74
160,0.1,42,44493,7309,4,2943.99
160,0.1,101,44409,5900,4,2834.05
160,0.1,202,44798,7098,4,2832.68
160,0.1,303,44494,10068,3,3000.84
160,0.1,404,44434,7063,4,3068.99
40,0.15,42,44456,8679,7,2858.03
40,0.15,101,44442,15133,7,2911.87
40,0.15,202,44446,18666,7,2974.08
40,0.15,303,44510,16812,7,2979.02
40,0.15,404,44461,14386,6,2894.59
60,0.15,42,44446,14326,5,2984.62
60,0.15,101,44391,6298,7,3000.37
60,0.15,202,44458,16975,7,2880.45
60,0.15,303,44379,12352,5,2872.08
60,0.15,404,44423,16284,6,2910.75
80,0.15,42,44396,14364,5,2977.33
80,0.15,101,44457,19280,7,2987.31
80,0.15,202,44464,8736,7,2999.59
80,0.15,303,44461,7448,7,2858.01
80,0.15,404,44493,18532,7,2883.6
120,0.15,42,44733,3628,6,2105.93
120,0.15,101,44551,4040,6,2068.75
120,0.15,202,44493,3997,6,2049.1
120,0.15,303,44461,3101,7,1952.75
120,0.15,404,44693,4432,6,1898.84
160,0.15,42,44534,5247,4,813.84
160,0.15,101,44599,6474,4,1870.3
160,0.15,202,44417,14256,2,802.51
160,0.15,303,44483,4804,4,815.51
160,0.15,404,44487,5633,4,816.69
