cand_idx,cand_name,n_ants,alpha,beta,rho,seed,best_weight,fe_best,reinits,time_s
2,"ants=80, a=1.0, b=2.0, r=0.10 (Relazione prev)",80,1.0,2.0,0.1,101,44451,4830,7,1460.89
3,"ants=80, a=2.0, b=2.0, r=0.15 (Rank 3)",80,2.0,2.0,0.15,303,44502,9273,7,1515.75
4,"ants=60, a=1.0, b=2.0, r=0.15 (Rank 4)",60,1.0,2.0,0.15,202,44458,16975,7,1549.58
4,"ants=60, a=1.0, b=2.0, r=0.15 (Rank 4)",60,1.0,2.0,0.15,303,44379,12352,5,1549.53
1,"ants=80, a=1.0, b=2.0, r=0.15 (Vincitore)",80,1.0,2.0,0.15,42,44396,14364,5,1600.05
2,"ants=80, a=1.0, b=2.0, r=0.10 (Relazione prev)",80,1.0,2.0,0.1,42,44447,4049,8,1627.5
4,"ants=60, a=1.0, b=2.0, r=0.15 (Rank 4)",60,1.0,2.0,0.15,42,44446,14326,5,1658.06
4,"ants=60, a=1.0, b=2.0, r=0.15 (Rank 4)",60,1.0,2.0,0.15,404,44423,16284,6,1667.23
3,"ants=80, a=2.0, b=2.0, r=0.15 (Rank 3)",80,2.0,2.0,0.15,404,44439,13520,7,1698.41
4,"ants=60, a=1.0, b=2.0, r=0.15 (Rank 4)",60,1.0,2.0,0.15,101,44391,6298,7,1698.39
3,"ants=80, a=2.0, b=2.0, r=0.15 (Rank 3)",80,2.0,2.0,0.15,202,44544,19823,7,1698.79
2,"ants=80, a=1.0, b=2.0, r=0.10 (Relazione prev)",80,1.0,2.0,0.1,303,44473,3633,8,1721.71
1,"ants=80, a=1.0, b=2.0, r=0.15 (Vincitore)",80,1.0,2.0,0.15,101,44457,19280,7,1726.83
1,"ants=80, a=1.0, b=2.0, r=0.15 (Vincitore)",80,1.0,2.0,0.15,202,44464,8736,7,1728.92
3,"ants=80, a=2.0, b=2.0, r=0.15 (Rank 3)",80,2.0,2.0,0.15,42,44409,13855,7,1730.11
3,"ants=80, a=2.0, b=2.0, r=0.15 (Rank 3)",80,2.0,2.0,0.15,101,44584,18573,4,1757.93
2,"ants=80, a=1.0, b=2.0, r=0.10 (Relazione prev)",80,1.0,2.0,0.1,404,44409,3395,8,1759.75
1,"ants=80, a=1.0, b=2.0, r=0.15 (Vincitore)",80,1.0,2.0,0.15,303,44461,7448,7,1795.32
1,"ants=80, a=1.0, b=2.0, r=0.15 (Vincitore)",80,1.0,2.0,0.15,404,44493,18532,7,1807.15
2,"ants=80, a=1.0, b=2.0, r=0.10 (Relazione prev)",80,1.0,2.0,0.1,202,44473,4773,7,1818.07
5,"ants=80, a=1.0, b=5.0, r=0.15 (Beta=5)",80,1.0,5.0,0.15,404,44442,18434,6,1429.03
5,"ants=80, a=1.0, b=5.0, r=0.15 (Beta=5)",80,1.0,5.0,0.15,202,44501,4452,7,1486.53
5,"ants=80, a=1.0, b=5.0, r=0.15 (Beta=5)",80,1.0,5.0,0.15,101,44462,19728,8,1523.01
5,"ants=80, a=1.0, b=5.0, r=0.15 (Beta=5)",80,1.0,5.0,0.15,303,44447,19190,6,1494.48
5,"ants=80, a=1.0, b=5.0, r=0.15 (Beta=5)",80,1.0,5.0,0.15,42,44467,15528,6,1677.56
