config_id,phase,seed,n_ants,alpha,beta,rho,best_weight,fe_best,reinits,time_s
3,FASE 1,42,80,1.0,2.0,0.15,44396,14364,5,1595.63
12,FASE 1,42,80,2.0,2.0,0.2,44470,17831,6,1629.54
4,FASE 1,42,80,1.0,2.0,0.2,44463,7615,7,1635.68
11,FASE 1,42,80,2.0,2.0,0.15,44409,13855,7,1670.33
1,FASE 1,42,80,1.0,2.0,0.02,44563,19019,0,1733.16
10,FASE 1,42,80,2.0,2.0,0.1,44598,8062,7,1736.65
2,FASE 1,42,80,1.0,2.0,0.1,44447,4049,8,1747.97
9,FASE 1,42,80,2.0,2.0,0.02,44555,8973,5,1803.32
8,FASE 1,42,80,1.0,5.0,0.2,44457,17615,5,2406.92
15,FASE 1,42,80,2.0,5.0,0.15,44459,19990,5,2415.88
16,FASE 1,42,80,2.0,5.0,0.2,44516,13023,7,2420.88
7,FASE 1,42,80,1.0,5.0,0.15,44467,15528,6,2431.54
6,FASE 1,42,80,1.0,5.0,0.1,44496,13151,6,2447.97
14,FASE 1,42,80,2.0,5.0,0.1,44484,19790,7,2470.32
5,FASE 1,42,80,1.0,5.0,0.02,44522,9321,5,2492.43
13,FASE 1,42,80,2.0,5.0,0.02,44477,7305,6,2522.34
MS-1,MULTI-SEED,42,80,1.0,2.0,0.15,44396,14364,5,1995.76
MS-2,MULTI-SEED,101,80,2.0,2.0,0.15,44584,18573,4,1996.89
MS-2,MULTI-SEED,42,80,2.0,2.0,0.15,44409,13855,7,2008.1
MS-1,MULTI-SEED,303,80,1.0,2.0,0.15,44461,7448,7,2009.19
MS-2,MULTI-SEED,202,80,2.0,2.0,0.15,44544,19823,7,2010.14
MS-2,MULTI-SEED,303,80,2.0,2.0,0.15,44502,9273,7,2011.83
MS-1,MULTI-SEED,202,80,1.0,2.0,0.15,44464,8736,7,2012.07
MS-2,MULTI-SEED,404,80,2.0,2.0,0.15,44439,13520,7,2012.07
MS-1,MULTI-SEED,101,80,1.0,2.0,0.15,44457,19280,7,2014.62
MS-1,MULTI-SEED,404,80,1.0,2.0,0.15,44493,18532,7,2015.25
MS-3,MULTI-SEED,404,80,1.0,2.0,0.1,44409,3395,8,2022.62
MS-3,MULTI-SEED,202,80,1.0,2.0,0.1,44473,4773,7,2024.22
MS-3,MULTI-SEED,303,80,1.0,2.0,0.1,44473,3633,8,2025.51
MS-3,MULTI-SEED,42,80,1.0,2.0,0.1,44447,4049,8,2026.51
MS-3,MULTI-SEED,101,80,1.0,2.0,0.1,44451,4830,7,2026.68
18,FASE 2 (n_ants),42,60,1.0,2.0,0.1,44504,15336,7,1038.59
17,FASE 2 (n_ants),42,40,1.0,2.0,0.1,44453,14749,6,1061.77
19,FASE 2 (n_ants),42,80,1.0,2.0,0.1,44447,4049,8,1073.74
21,FASE 2 (n_ants),42,160,1.0,2.0,0.1,44493,7309,4,1077.29
20,FASE 2 (n_ants),42,120,1.0,2.0,0.1,44472,6082,5,1077.86
