config_id,phase,n_ants,alpha,beta,rho,best_weight,fe_best,reinits,time_s
1,FASE 1 (alpha/beta/rho),80,1.0,2.0,0.02,44563,19019,0,765.39
2,FASE 1 (alpha/beta/rho),80,1.0,2.0,0.1,44447,4049,8,1254.49
3,FASE 1 (alpha/beta/rho),80,1.0,2.0,0.15,44396,14364,5,785.61
4,FASE 1 (alpha/beta/rho),80,1.0,5.0,0.02,44522,9321,5,1478.33
5,FASE 1 (alpha/beta/rho),80,1.0,5.0,0.1,44496,13151,6,995.2
6,FASE 1 (alpha/beta/rho),80,1.0,5.0,0.15,44467,15528,6,1057.35
7,FASE 1 (alpha/beta/rho),80,1.0,10.0,0.02,44850,5561,8,2045.2
8,FASE 1 (alpha/beta/rho),80,1.0,10.0,0.1,44509,5004,7,1003.79
9,FASE 1 (alpha/beta/rho),80,1.0,10.0,0.15,44509,2128,8,1049.33
10,FASE 1 (alpha/beta/rho),80,2.0,2.0,0.02,44555,8973,5,1335.98
11,FASE 1 (alpha/beta/rho),80,2.0,2.0,0.1,44598,8062,7,73681.73
12,FASE 1 (alpha/beta/rho),80,2.0,2.0,0.15,44409,13855,7,2614.41
13,FASE 1 (alpha/beta/rho),80,2.0,5.0,0.02,44477,7305,6,2857.45
14,FASE 1 (alpha/beta/rho),80,2.0,5.0,0.1,44484,19790,7,2015.61
15,FASE 1 (alpha/beta/rho),80,2.0,5.0,0.15,44459,19990,5,1346.32
16,FASE 1 (alpha/beta/rho),80,2.0,10.0,0.02,44615,10113,4,1710.68
17,FASE 1 (alpha/beta/rho),80,2.0,10.0,0.1,44447,17406,7,1696.99
18,FASE 1 (alpha/beta/rho),80,2.0,10.0,0.15,44486,11345,7,2043.16
19,FASE 1 (alpha/beta/rho),80,3.0,2.0,0.02,44624,9620,5,2175.56
20,FASE 1 (alpha/beta/rho),80,3.0,2.0,0.1,44669,11547,7,1051.27
21,FASE 1 (alpha/beta/rho),80,3.0,2.0,0.15,44716,7725,8,15809.91
22,FASE 1 (alpha/beta/rho),80,3.0,5.0,0.02,44492,6161,6,39773.71
23,FASE 1 (alpha/beta/rho),80,3.0,5.0,0.1,44515,8401,7,1844.62
24,FASE 1 (alpha/beta/rho),80,3.0,5.0,0.15,44457,19060,6,3266.51
25,FASE 1 (alpha/beta/rho),80,3.0,10.0,0.02,44650,4806,7,3126.87
26,FASE 1 (alpha/beta/rho),80,3.0,10.0,0.1,44509,8703,7,9945.9
27,FASE 1 (alpha/beta/rho),80,3.0,10.0,0.15,44467,19134,6,3518.74
28,FASE 2 (n_ants),40,1.0,2.0,0.15,44456,8679,7,1717.18
29,FASE 2 (n_ants),60,1.0,2.0,0.15,44446,14326,5,2064.06
30,FASE 2 (n_ants),80,1.0,2.0,0.15,44396,14364,5,1710.02
31,FASE 2 (n_ants),120,1.0,2.0,0.15,44733,3628,6,1469.04
32,FASE 2 (n_ants),160,1.0,2.0,0.15,44534,5247,4,6429.25
