run,instance,seed,best_weight,lower_bound,gap_pct_lb,opt_weight,gap_pct_opt,cover_size,fe_at_best,fe_used,fe_budget_pct,iterations,n_reinits,stopped_early,time_seconds
1,vc_20_120_01.txt,42,844,551,53.18,844,0.0,15,5,20000,0.03,4000,20,1,11.490
2,vc_20_120_02.txt,42,1009,625,61.44,1009,0.0,16,2,20000,0.01,4000,20,1,11.802
3,vc_20_120_03.txt,42,994,630,57.78,994,0.0,16,11,20000,0.06,4000,19,0,11.953
4,vc_20_120_04.txt,42,1050,671,56.48,1050,0.0,16,1,20000,0.01,4000,20,1,11.791
5,vc_20_120_05.txt,42,997,579,72.19,997,0.0,16,1,20000,0.01,4000,20,1,12.109
6,vc_20_120_06.txt,42,961,574,67.42,961,0.0,17,1,20000,0.01,4000,20,1,12.526
7,vc_20_120_07.txt,42,991,617,60.62,991,0.0,16,1,20000,0.01,4000,20,1,12.124
8,vc_20_120_08.txt,42,1142,695,64.32,1142,0.0,15,1,20000,0.01,4000,20,1,11.230
9,vc_20_120_09.txt,42,1261,717,75.87,1261,0.0,16,9,20000,0.04,4000,19,0,12.421
10,vc_20_120_10.txt,42,1133,634,78.71,1133,0.0,16,28,20000,0.14,4000,19,0,13.744
