level,class,config,n,m,n_runs,mean_best_weight,std_best_weight,min_best_weight,max_best_weight,mean_fe_at_best,std_fe_at_best,mean_fe_budget_pct,mean_reinits,pct_stopped_early
config,MPI,vc_100_2000,100,2000,10,6051.9,197.7071,5738.0,6297.0,723.6,1355.9399,3.62,9.0,0.0
config,MPI,vc_100_500,100,500,10,4607.7,161.2445,4370.0,4872.0,3080.0,2661.0373,15.4,9.0,0.0
config,MPI,vc_200_3000,200,3000,10,11599.1,394.3181,11121.0,12549.0,4626.2,6165.4451,23.13,8.8,0.0
config,MPI,vc_200_750,200,750,10,8273.3,321.4302,7635.0,8761.0,3762.1,4520.7774,18.81,8.8,0.0
config,SPI,vc_20_120,20,120,10,1038.2,115.4439,844.0,1261.0,6.0,8.5635,0.03,19.7,70.0
config,SPI,vc_20_60,20,60,10,861.8,87.2376,730.0,980.0,7.3,6.8158,0.04,19.7,70.0
config,SPI,vc_25_150,25,150,10,1264.0,123.9328,1061.0,1450.0,7.3,13.5896,0.04,19.7,70.0
config,LPI,vc_800_10000,800,10000,10,44489.9,78.9183,44428.0,44694.0,5776.9,4955.3757,28.88,7.3,0.0
class,SPI,SPI,-,-,30,1054.67,198.2305,730.0,1450.0,6.9,9.7405,0.04,19.7,70.0
class,MPI,MPI,-,-,40,7633.0,2683.4609,4370.0,12549.0,3048.0,4207.3612,15.24,8.9,0.0
class,LPI,LPI,-,-,10,44489.9,78.9183,44428.0,44694.0,5776.9,4955.3757,28.88,7.3,0.0
